School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Whiddon Rodgers Education Center,https://www.schooldigger.com/go/FL/schools/0018003027/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,700 SW 26th St,Fort Lauderdale,https://www.schooldigger.com/go/FL/city/Fort+Lauderdale/search.aspx,33315,Broward County,(754) 321-7550,6,12,No,No,No,No,515,34,15.1,61.00%,74.80%,0.60%,0.80%,18.10%,0.60%,1.40%,3.90%,4.3
North Central Florida Public Charter School,https://www.schooldigger.com/go/FL/schools/0003007948/school.aspx,Alachua,https://www.schooldigger.com/go/FL/district/00030/search.aspx,1000 NE 16th Blvd Bldg C,Gainesville,https://www.schooldigger.com/go/FL/city/Gainesville/search.aspx,32601,Alachua County,(352) 379-2902,8,12,Yes,Yes,No,No,187,6,31.1,75.90%,66.80%,0.00%,0.00%,10.20%,0.00%,7.50%,15.50%,4.3
Palm Beach Preparatory Charter Academy,https://www.schooldigger.com/go/FL/schools/0150008009/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,3525 S Congress Ave,Palm Springs,https://www.schooldigger.com/go/FL/city/Palm+Springs/search.aspx,33461,Palm Beach County,(561) 623-6935,9,12,Yes,Yes,No,No,642,12,53.5,68.20%,20.10%,1.40%,0.30%,70.10%,0.00%,2.20%,5.90%,4.2
Graduation Assistance Program,https://www.schooldigger.com/go/FL/schools/0090007853/school.aspx,Holmes,https://www.schooldigger.com/go/FL/district/00900/search.aspx,307 W North Ave,Bonifay,https://www.schooldigger.com/go/FL/city/Bonifay/search.aspx,32425,Holmes County,(850) 547-0470,6,12,No,No,No,No,78,1,78,80.80%,10.30%,0.00%,0.00%,6.40%,0.00%,3.80%,79.50%,4.2
Dave Thomas Education Center West,https://www.schooldigger.com/go/FL/schools/0018003543/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,4690 Coconut Creek Pkwy,Coconut Creek,https://www.schooldigger.com/go/FL/city/Coconut+Creek/search.aspx,33063,Broward County,(754) 321-6750,6,12,No,No,No,No,556,22,25.2,70.70%,75.40%,0.20%,0.50%,18.90%,0.00%,1.40%,3.60%,4.2
Success Academy,https://www.schooldigger.com/go/FL/schools/0051002557/school.aspx,Escambia,https://www.schooldigger.com/go/FL/district/00510/search.aspx,7045 Wymart Rd,Pensacola,https://www.schooldigger.com/go/FL/city/Pensacola/search.aspx,32526,Escambia County,(850) 941-6100,6,12,Yes,No,No,No,260,21,12.3,74.20%,48.80%,0.00%,0.00%,5.80%,0.40%,9.60%,35.40%,4.1
Disston Academy,https://www.schooldigger.com/go/FL/schools/0156002788/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,5125 11th Ave S,Gulfport,https://www.schooldigger.com/go/FL/city/Gulfport/search.aspx,33707,Pinellas County,(727) 893-1115,5,12,Yes,No,No,No,101,12,8.4,80.20%,64.40%,0.00%,1.00%,12.90%,0.00%,5.00%,16.80%,4.1
Triad,https://www.schooldigger.com/go/FL/schools/0168003123/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,4430 Beneva Rd,Sarasota,https://www.schooldigger.com/go/FL/city/Sarasota/search.aspx,34233,Sarasota County,(941) 361-6752,6,12,Yes,No,No,No,115,9,12.7,88.70%,41.70%,0.90%,0.00%,22.60%,0.00%,8.70%,26.10%,4.1
Walton Academy Inc.,https://www.schooldigger.com/go/FL/schools/0198004458/school.aspx,Walton,https://www.schooldigger.com/go/FL/district/01980/search.aspx,389 Dorsey Ave,Defuniak Springs,https://www.schooldigger.com/go/FL/city/Defuniak+Springs/search.aspx,32435,Walton County,(850) 892-3999,5,12,Yes,Yes,No,No,170,3,56.6,84.70%,11.20%,0.00%,0.00%,18.80%,0.00%,4.10%,65.90%,4
Okeechobee Achievement Academy,https://www.schooldigger.com/go/FL/schools/0141003624/school.aspx,Okeechobee,https://www.schooldigger.com/go/FL/district/01410/search.aspx,1000 NW 34th St,Okeechobee,https://www.schooldigger.com/go/FL/city/Okeechobee/search.aspx,34972,Okeechobee County,(863) 462-5125,PK,12,Yes,No,No,No,179,10,17.9,77.70%,8.90%,0.60%,0.00%,46.90%,0.00%,5.60%,38.00%,3.9
New Beginnings High School,https://www.schooldigger.com/go/FL/schools/0159007899/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,250 Magnolia Ave SW,Winter Haven,https://www.schooldigger.com/go/FL/city/Winter+Haven/search.aspx,33880,Polk County,(863) 268-5666,6,12,Yes,Yes,No,No,837,14,59.7,71.30%,29.00%,0.10%,0.10%,48.30%,0.00%,2.70%,19.70%,3.9
Grand Park Career Center,https://www.schooldigger.com/go/FL/schools/0048000635/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,2335 W 18th St,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32209,Duval County,(904) 630-6894,6,12,Yes,No,No,No,213,15,14.2,71.80%,82.20%,0.00%,0.00%,5.20%,0.00%,1.90%,10.80%,3.9
Green Springs High School,https://www.schooldigger.com/go/FL/schools/0039007980/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,3555 NW 7th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33125,Miami-Dade County,(305) 720-2996,9,12,No,Yes,No,No,551,10,55.1,5.60%,4.00%,0.00%,0.00%,94.60%,0.00%,0.40%,1.10%,3.8
Educational Venture Charter School,https://www.schooldigger.com/go/FL/schools/0150003470/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,115 East Coast Ave,Lantana,https://www.schooldigger.com/go/FL/city/Lantana/search.aspx,33462,Palm Beach County,(561) 582-1454,9,12,Yes,Yes,No,No,76,7,10.8,23.70%,43.40%,1.30%,0.00%,36.80%,0.00%,1.30%,17.10%,3.7
Suned High School Of North Broward,https://www.schooldigger.com/go/FL/schools/0018008386/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,1117 Banks Rd,Margate,https://www.schooldigger.com/go/FL/city/Margate/search.aspx,33063,Broward County,(954) 246-4004,9,12,No,Yes,No,No,327,10,32.7,97.60%,49.80%,0.30%,1.20%,33.90%,0.00%,2.10%,12.50%,3.7
Lealman Innovation Academy,https://www.schooldigger.com/go/FL/schools/0156001637/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,4900 28th St N,St Petersburg,https://www.schooldigger.com/go/FL/city/St+Petersburg/search.aspx,33714,Pinellas County,(727) 528-5802,5,12,Yes,No,No,No,394,39,10.1,80.20%,68.00%,0.30%,1.00%,5.80%,0.00%,4.10%,20.80%,3.5
Alee Academy Charter School,https://www.schooldigger.com/go/FL/schools/0105003597/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,1705 E County Road 44,Eustis,https://www.schooldigger.com/go/FL/city/Eustis/search.aspx,32736,Lake County,(352) 357-9426,9,12,Yes,Yes,No,No,177,7,25.2,56.50%,29.40%,0.00%,1.10%,22.00%,1.10%,5.60%,40.70%,3.5
High Road,https://www.schooldigger.com/go/FL/schools/0165008958/school.aspx,Santa Rosa,https://www.schooldigger.com/go/FL/district/01650/search.aspx,4140 Berryhill Road,Milton,https://www.schooldigger.com/go/FL/city/Milton/search.aspx,32571,Santa Rosa County,(850) 212-6158,KG,12,Yes,No,No,No,123,9,13.6,73.20%,13.80%,0.80%,0.80%,3.30%,0.00%,7.30%,74.00%,3.4
Journeys Academy,https://www.schooldigger.com/go/FL/schools/0171007721/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,1722 W Airport Blvd,Sanford,https://www.schooldigger.com/go/FL/city/Sanford/search.aspx,32771,Seminole County,(407) 320-7827,2,12,Yes,No,No,No,138,15,9.2,84.10%,42.00%,0.00%,0.70%,29.70%,0.00%,5.10%,22.50%,3.4
Palm Beach Virtual Instruction Program,https://www.schooldigger.com/go/FL/schools/0150007579/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,9482 MacArthur Blvd,Palm Beach Gardens,https://www.schooldigger.com/go/FL/city/Palm+Beach+Gardens/search.aspx,33403,Palm Beach County,(561) 881-4769,KG,12,No,No,No,Yes,91,82,1.1,12.10%,19.80%,0.00%,3.30%,29.70%,2.20%,4.40%,40.70%,3.4
Horizon Institute,https://www.schooldigger.com/go/FL/schools/0048009001/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,11363 San Jose Blvd #200,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32223,Duval County,(904) 337-4090,6,12,No,No,No,No,373,0,,59.20%,59.00%,0.00%,0.50%,17.20%,0.00%,6.20%,17.20%,3.4
North/Central Area Alternative Learning Center,https://www.schooldigger.com/go/FL/schools/0015002052/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,301 Grove Blvd,Merritt Island,https://www.schooldigger.com/go/FL/city/Merritt+Island/search.aspx,32953,Brevard County,(321) 633-3489,3,12,Yes,No,No,No,93,7,13.2,76.30%,39.80%,0.00%,0.00%,9.70%,0.00%,9.70%,40.90%,3.4
New Horizons Learning Center,https://www.schooldigger.com/go/FL/schools/0009003147/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,3200 Minnesota Ave,Panama City,https://www.schooldigger.com/go/FL/city/Panama+City/search.aspx,32405,Bay County,(850) 767-1110,6,12,Yes,No,No,No,91,17,5.3,78.00%,27.50%,0.00%,0.00%,6.60%,0.00%,8.80%,57.10%,3.3
Positive Pathways Transition Center,https://www.schooldigger.com/go/FL/schools/0144007536/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,6125 N Orange Blossom Trl,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32810,Orange County,(407) 992-0599,KG,12,Yes,No,No,No,306,25,12.2,75.80%,47.70%,0.30%,0.70%,39.50%,0.30%,1.30%,10.10%,3.3
Believers Academy,https://www.schooldigger.com/go/FL/schools/0150006206/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,5840 Corporate Way Ste 100,West Palm Beach,https://www.schooldigger.com/go/FL/city/West+Palm+Beach/search.aspx,33407,Palm Beach County,(561) 340-2507,9,12,Yes,Yes,No,No,94,7,13.4,50.00%,58.50%,0.00%,0.00%,26.60%,0.00%,1.10%,13.80%,3.2
Seminole Heights Charter High School,https://www.schooldigger.com/go/FL/schools/0087007650/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,4006 N Florida Ave,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33603,Hillsborough County,(813) 234-0809,7,12,Yes,Yes,No,No,326,6,54.3,58.00%,53.70%,0.00%,0.30%,32.80%,0.00%,3.10%,10.10%,3.2
Rosenwald High School,https://www.schooldigger.com/go/FL/schools/0009007763/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,924 Bay Ave,Panama City,https://www.schooldigger.com/go/FL/city/Panama+City/search.aspx,32401,Bay County,(850) 767-4580,6,12,Yes,No,No,No,324,25.3,12.7,69.40%,25.60%,0.60%,0.30%,10.50%,0.30%,5.90%,56.80%,3.2
Cypress Run Alternative Center,https://www.schooldigger.com/go/FL/schools/0018002593/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,2800 NW 30 Av,Pompano Beach,https://www.schooldigger.com/go/FL/city/Pompano+Beach/search.aspx,33069,Broward County,(754) 321-6500,KG,12,No,No,No,No,147,15.5,9.4,67.30%,75.50%,0.00%,0.70%,13.60%,0.00%,1.40%,8.80%,3.1
Seagull School,https://www.schooldigger.com/go/FL/schools/0018000188/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,425 SW 28th St,Fort Lauderdale,https://www.schooldigger.com/go/FL/city/Fort+Lauderdale/search.aspx,33315,Broward County,(754) 321-7300,PK,12,No,No,No,No,147,14,10.5,57.80%,68.00%,0.00%,0.00%,25.20%,0.00%,0.00%,6.80%,3
North Gardens High School,https://www.schooldigger.com/go/FL/schools/0039007984/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,4692f NW 183rd St,Miami Gardens,https://www.schooldigger.com/go/FL/city/Miami+Gardens/search.aspx,33055,Miami-Dade County,(786) 528-6308,9,12,No,Yes,No,No,432,9,48,7.90%,51.40%,0.00%,0.20%,44.90%,0.00%,2.10%,1.40%,3
Carter Parramore Academy,https://www.schooldigger.com/go/FL/schools/0060000860/school.aspx,Gadsden,https://www.schooldigger.com/go/FL/district/00600/search.aspx,631 S Stewart St,Quincy,https://www.schooldigger.com/go/FL/city/Quincy/search.aspx,32351,Gadsden County,(850) 627-6030,4,12,No,No,No,No,55,6,9.1,98.20%,87.30%,0.00%,0.00%,3.60%,0.00%,3.60%,5.50%,3
Don E Woods Opportunity Center,https://www.schooldigger.com/go/FL/schools/0159003256/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,213 Lake Ave E,Dundee,https://www.schooldigger.com/go/FL/city/Dundee/search.aspx,33838,Polk County,(863) 421-3325,6,12,No,No,No,No,65,11,5.9,83.10%,35.40%,0.00%,0.00%,49.20%,0.00%,3.10%,12.30%,3
C. G. Bethel High School,https://www.schooldigger.com/go/FL/schools/0039007542/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,16150 NE 17th Ave,North Miami Beach,https://www.schooldigger.com/go/FL/city/North+Miami+Beach/search.aspx,33162,Miami-Dade County,(786) 629-7053,9,12,No,Yes,No,No,350,8,43.7,12.90%,53.40%,0.00%,1.40%,40.00%,0.00%,0.30%,4.90%,3
Biscayne High School,https://www.schooldigger.com/go/FL/schools/0048008264/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,1680 Dunn Ave,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32218,Duval County,(904) 252-6311,9,12,Yes,Yes,No,No,204,0,,66.20%,85.80%,0.00%,0.00%,4.90%,0.00%,2.50%,6.90%,3
Deaf High School (Fsdb),https://www.schooldigger.com/go/FL/schools/0201601247/school.aspx,Deaf/Blind,https://www.schooldigger.com/go/FL/district/02016/search.aspx,207 San Marco Ave,St Augustine,https://www.schooldigger.com/go/FL/city/St+Augustine/search.aspx,32084,St. Johns County,(904) 827-2500,9,12,No,No,No,No,171,22,7.7,80.10%,21.60%,0.00%,6.40%,30.40%,0.00%,2.90%,38.60%,2.9
Success Academy,https://www.schooldigger.com/go/FL/schools/0108003077/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,3650 Michigan Ave,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33916,Lee County,(239) 334-3416,6,12,Yes,No,No,No,98,14,7,76.50%,29.60%,0.00%,0.00%,46.90%,0.00%,3.10%,20.40%,2.9
Bayside High School,https://www.schooldigger.com/go/FL/schools/0156004035/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,14405 49th St N,Clearwater,https://www.schooldigger.com/go/FL/city/Clearwater/search.aspx,33762,Pinellas County,(727) 507-4730,9,12,Yes,No,No,No,170,18,9.4,76.50%,43.50%,0.00%,0.60%,21.20%,0.00%,5.90%,28.80%,2.9
Sunrise High School,https://www.schooldigger.com/go/FL/schools/0018007917/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,424 W Sunrise Blvd,Fort Lauderdale,https://www.schooldigger.com/go/FL/city/Fort+Lauderdale/search.aspx,33311,Broward County,(954) 446-9234,9,12,No,Yes,No,No,420,0,,50.50%,81.20%,0.20%,0.20%,8.10%,0.00%,0.70%,9.50%,2.8
Spectrum Academy,https://www.schooldigger.com/go/FL/schools/0129002655/school.aspx,Martin,https://www.schooldigger.com/go/FL/district/01290/search.aspx,800 SE Bahama Ave,Stuart,https://www.schooldigger.com/go/FL/city/Stuart/search.aspx,34994,Martin County,(772) 219-1870,6,12,Yes,No,No,No,136,8.5,16,64.70%,14.00%,0.00%,0.00%,46.30%,0.00%,4.40%,35.30%,2.8
Elevation High School,https://www.schooldigger.com/go/FL/schools/0171009042/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,4243 N Us Highway 17-92,Sanford,https://www.schooldigger.com/go/FL/city/Sanford/search.aspx,32773,Seminole County,(407) 732-5788,7,12,No,Yes,No,No,226,7,32.2,67.30%,30.50%,0.40%,1.80%,33.20%,0.40%,4.90%,28.80%,2.8
Pinellas Secondary School,https://www.schooldigger.com/go/FL/schools/0156004431/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,8570 66th St N,Pinellas Park,https://www.schooldigger.com/go/FL/city/Pinellas+Park/search.aspx,33782,Pinellas County,(727) 549-6550,6,12,Yes,No,No,No,79,23,3.4,81.00%,67.10%,0.00%,0.00%,6.30%,0.00%,6.30%,20.30%,2.7
Success Academy At Ghazvini Learning Center,https://www.schooldigger.com/go/FL/schools/0111007831/school.aspx,Leon,https://www.schooldigger.com/go/FL/district/01110/search.aspx,854 Blountstown St,Tallahassee,https://www.schooldigger.com/go/FL/city/Tallahassee/search.aspx,32304,Leon County,(850) 488-2087,6,12,Yes,No,No,No,154,8.7,17.5,76.60%,83.10%,0.00%,0.00%,4.50%,0.00%,3.90%,8.40%,2.7
Suned High Of South Broward,https://www.schooldigger.com/go/FL/schools/0018008861/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,2744 Davie Blvd,Fort Lauderdale,https://www.schooldigger.com/go/FL/city/Fort+Lauderdale/search.aspx,33312,Broward County,(954) 284-7000,9,12,No,Yes,No,No,297,6,49.5,38.70%,33.70%,0.30%,2.40%,48.10%,0.30%,1.30%,13.80%,2.7
Real Academy (Reaching Every Adolescent Learner),https://www.schooldigger.com/go/FL/schools/0159008455/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,951 Mount Airy Ave,Lakeland,https://www.schooldigger.com/go/FL/city/Lakeland/search.aspx,33801,Polk County,(863) 534-0500,4,12,Yes,No,No,No,264,23,11.4,83.70%,39.80%,0.00%,0.40%,36.40%,0.00%,2.30%,21.20%,2.6
West University Charter High,https://www.schooldigger.com/go/FL/schools/0087008112/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,11602 N 15th St,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33612,Hillsborough County,(813) 971-5011,9,12,Yes,Yes,No,No,455,9,50.5,59.30%,38.00%,0.20%,1.10%,45.90%,0.40%,2.60%,11.60%,2.6
North Park High School,https://www.schooldigger.com/go/FL/schools/0039007983/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,3400 NW 135th St,Opa Locka,https://www.schooldigger.com/go/FL/city/Opa+Locka/search.aspx,33054,Miami-Dade County,(305) 720-2995,9,12,No,Yes,No,No,559,8,69.8,8.60%,47.90%,0.00%,0.00%,50.10%,0.00%,0.90%,1.10%,2.5
Silver River Mentoring And Instruction,https://www.schooldigger.com/go/FL/schools/0126001902/school.aspx,Marion,https://www.schooldigger.com/go/FL/district/01260/search.aspx,2500 SE 44th Ct,Ocala,https://www.schooldigger.com/go/FL/city/Ocala/search.aspx,34471,Marion County,(352) 694-0191,6,12,Yes,No,No,No,186,5,37.2,86.00%,47.30%,0.00%,0.50%,22.60%,0.00%,5.90%,23.70%,2.5
Donna J. Beasley Technical Academy,https://www.schooldigger.com/go/FL/schools/0108008229/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,60 Bell Blvd N,Lehigh Acres,https://www.schooldigger.com/go/FL/city/Lehigh+Acres/search.aspx,33936,Lee County,(239) 476-9100,9,12,No,Yes,No,No,266,8,33.2,27.10%,17.30%,0.40%,0.80%,54.50%,0.00%,3.80%,23.30%,2.4
Dale Cassens Education Complex,https://www.schooldigger.com/go/FL/schools/0177004149/school.aspx,St. Lucie,https://www.schooldigger.com/go/FL/district/01770/search.aspx,1905 S 11th St,Fort Pierce,https://www.schooldigger.com/go/FL/city/Fort+Pierce/search.aspx,34950,St. Lucie County,(772) 468-5190,PK,12,Yes,No,No,No,212,23,9.2,66.50%,64.20%,0.50%,0.50%,19.80%,0.00%,6.10%,9.00%,2.4
Worthington High School,https://www.schooldigger.com/go/FL/schools/0150008168/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,1711 Worthington Rd,West Palm Beach,https://www.schooldigger.com/go/FL/city/West+Palm+Beach/search.aspx,33409,Palm Beach County,(407) 615-0370,9,12,Yes,Yes,No,No,349,6,58.1,58.50%,39.30%,0.90%,0.30%,47.90%,0.30%,1.70%,9.70%,2.3
Stellar Leadership Academy,https://www.schooldigger.com/go/FL/schools/0039005495/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,7900 NW 27th Ave # F20,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33147,Miami-Dade County,(305) 693-2273,9,12,Yes,Yes,No,No,308,12,25.6,3.90%,54.90%,0.00%,0.00%,43.20%,0.00%,1.60%,0.30%,2.3
Workforce Advantage Academy Charter,https://www.schooldigger.com/go/FL/schools/0144004011/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,2210 Rio Grande Ave,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32805,Orange County,(407) 898-7228,10,12,No,Yes,No,No,286,6,47.6,1.00%,78.00%,0.00%,0.00%,14.30%,0.00%,1.70%,5.90%,2.3
Achieve Academy At McMillian,https://www.schooldigger.com/go/FL/schools/0051004345/school.aspx,Escambia,https://www.schooldigger.com/go/FL/district/00510/search.aspx,3000 Owen Bell Lane,Pensacola,https://www.schooldigger.com/go/FL/city/Pensacola/search.aspx,32507,Escambia County,(850) 497-6692,KG,12,Yes,No,No,No,271,21,12.9,90.80%,78.60%,0.40%,0.40%,3.30%,0.00%,4.10%,13.30%,2.2
Second Chance At Ghazvini Learning Center,https://www.schooldigger.com/go/FL/schools/0111000788/school.aspx,Leon,https://www.schooldigger.com/go/FL/district/01110/search.aspx,854 Blountstown Street,Tallahassee,https://www.schooldigger.com/go/FL/city/Tallahassee/search.aspx,32303,Leon County,(850) 488-2087,KG,12,Yes,No,No,No,79,4,19.7,83.50%,74.70%,0.00%,0.00%,7.60%,0.00%,2.50%,15.20%,2.2
